b0_Bias_human_mean,b0_ECE_rounded,b0_Exact_rounded,b0_Kendall_human_mean,b0_L2H_count,b0_MAE_human_mean,b0_Recall_3_rounded,b0_Recall_4_rounded,b0_Recall_5_rounded,epoch,m1_Bias_human_mean,m1_ECE_rounded,m1_Exact_rounded,m1_Kendall_human_mean,m1_L2H_count,m1_MAE_human_mean,m1_Recall_3_rounded,m1_Recall_4_rounded,m1_Recall_5_rounded
0.09889558232931728,0.061630796910409444,0.5903614457831325,0.29270639616320854,20,0.5306224899598393,0.0,0.759493670886076,0.6144927536231884,1,0.2735943775100402,0.04713397235216865,0.6265060240963856,0.34938247551242796,20,0.5065261044176708,0.0,0.5864978902953587,0.8028985507246377
0.409136546184739,0.0854551786309983,0.6430722891566265,0.412801926631833,20,0.5005020080321284,0.0,0.42616033755274263,0.9449275362318841,2,0.09738955823293172,0.04489483459886298,0.6671686746987951,0.4997030587578478,20,0.4397590361445783,0.06451612903225806,0.8227848101265823,0.7072463768115942
0.21636546184738958,0.03143939286111347,0.6566265060240963,0.48554754521593996,15,0.4764056224899597,0.4032258064516129,0.4177215189873418,0.9043478260869565,3,0.19979919678714864,0.05263657432543226,0.6882530120481928,0.541060987812812,13,0.41867469879518066,0.20967741935483872,0.5907172995780591,0.8753623188405797
0.11244979919678716,0.07835258588374377,0.6957831325301205,0.5376692649236334,19,0.4196787148594377,0.12903225806451613,0.8185654008438819,0.7536231884057971,4,0.12449799196787147,0.040732861732143966,0.6957831325301205,0.55771902079424,9,0.396586345381526,0.1935483870967742,0.6919831223628692,0.8144927536231884
0.049196787148594365,0.06666675627411128,0.7168674698795181,0.5893790645165143,10,0.396586345381526,0.3225806451612903,0.7341772151898734,0.8028985507246377,5,0.10190763052208834,0.049737637840121626,0.713855421686747,0.5763971393772845,8,0.3890562248995983,0.4032258064516129,0.6413502109704642,0.8434782608695652
0.13052208835341364,0.1246652376939015,0.7078313253012049,0.5775101813868861,11,0.393574297188755,0.1935483870967742,0.6751054852320675,0.8463768115942029,6,0.07329317269076303,0.047938447894461216,0.697289156626506,0.5737801051459898,9,0.395582329317269,0.2903225806451613,0.6835443037974683,0.8028985507246377
0.1004016064257028,0.1408663516392909,0.7123493975903614,0.5801059191760592,9,0.39257028112449793,0.27419354838709675,0.6751054852320675,0.8405797101449275,7,0.04769076305220882,0.05006553053137768,0.7048192771084337,0.5819741577444408,6,0.38905622489959835,0.3870967741935484,0.6877637130801688,0.7971014492753623
0.11395582329317268,0.14771272084978687,0.7183734939759037,0.5770767969155172,11,0.3860441767068273,0.27419354838709675,0.6919831223628692,0.8376811594202899,8,0.03865461847389557,0.0645847568310887,0.7063253012048193,0.5928992062815969,6,0.3830321285140562,0.3870967741935484,0.7046413502109705,0.7884057971014493
0.10491967871485942,0.15236990265997064,0.7123493975903614,0.5752785231929457,10,0.39106425702811237,0.27419354838709675,0.679324894514768,0.8347826086956521,9,0.06726907630522087,0.07027313490229914,0.7048192771084337,0.588650206982505,6,0.3845381526104417,0.3548387096774194,0.6708860759493671,0.8144927536231884
0.1109437751004016,0.15407942374607161,0.7168674698795181,0.5755997709739463,10,0.3880522088353413,0.2903225806451613,0.6835443037974683,0.8376811594202899,10,0.05973895582329316,0.0687374985630972,0.7108433734939759,0.5871609623782296,6,0.3840361445783132,0.3709677419354839,0.6919831223628692,0.808695652173913
