item,value,status,details
repo_root,/home/jpang/edubench-eval-exp2,PASS,
current_git_commit,4e95b0a4f1b41a0e7c43bbaf004e8561d136dc68,PASS,
mode,scout,PASS,Exp14 currently implements scout-only by default.
eval_test,0,PASS,Scout must not evaluate test.
allow_exp14_test_guard,0,PASS,EVAL_TEST=1 requires ALLOW_EXP14_TEST=1.
output_dir,thesis_exp/outputs/exp14_logit_margin_tail_risk_oc,PASS,
local_run_root,thesis_exp/runs/exp14_logit_margin_tail_risk_oc,PASS,
local_checkpoint_dir_ignored,thesis_exp/runs/exp14_logit_margin_tail_risk_oc,PASS,thesis_exp/.gitignore ignores runs/
train_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/train.jsonl,PASS,
dev_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/dev.jsonl,PASS,
test_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/test.jsonl,PASS,present but not used in scout
QD_B1_checkpoint_path,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,PASS,"requires state_dict.pt, exp05_head_metadata.json, tokenizer.json"
seed_list,42,PASS,
gpu_list,6 7,PASS,
run_list,score_logit_margin_lam0p01_alllow score_logit_margin_lam0p02_alllow score_logit_margin_lam0p05_alllow score_tail_logit_margin_lam0p02_top0p50 score_tail_logit_margin_lam0p05_top0p50 score_tail_logit_margin_lam0p02_top0p25 point_pair_tail_logit_margin_lam0p02_top0p50,PASS,
epochs,3,PASS,
selection_delta,0.005,PASS,
scout_has_no_sample_caps,"{""MAX_DEV_PAIRS"": """", ""MAX_EVAL_SAMPLES"": """", ""MAX_TRAIN_PAIRS"": """", ""MAX_TRAIN_SAMPLES"": """"}",PASS,Exp14 scout runs should not use sample or pair caps.
config_score_logit_margin_lam0p01_alllow,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_logit_margin_lam0p01_alllow.yaml,PASS,
score_logit_margin_lam0p01_alllow_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_logit_margin_lam0p01_alllow_logit_margin_enabled,True,PASS,
score_logit_margin_lam0p01_alllow_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_logit_margin_lam0p01_alllow_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_logit_margin_lam0p01_alllow_selection_decode_mode,projected,PASS,
config_score_logit_margin_lam0p02_alllow,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_logit_margin_lam0p02_alllow.yaml,PASS,
score_logit_margin_lam0p02_alllow_exp13_probability_hinge_disabled,False,PASS,Exp14 must not reuse Exp13 probability-space q3 hinge.
score_logit_margin_lam0p02_alllow_logit_margin_enabled,True,PASS,
score_logit_margin_lam0p02_alllow_logit_margin_threshold_t,3,PASS,threshold tensor index is 2 in the loss implementation
score_logit_margin_lam0p02_alllow_selection_rule,mae_guard_low_to_high_then_p_gt_3,PASS,
score_logit_margin_lam0p02_alllow_selection_decode_mode,projected,PASS,
config_score_logit_margin_lam0p05_alllow,thesis_exp/configs/exp14_logit_margin_tail_risk_oc/exp14_score_logit_margin_lam0p05_alllow.yaml,PASS,
