item,value,status,details
repo_root,/Users/sss/edubench-eval,PASS,
current_git_commit,64b9979f4fd9350478c715f07f944b65b7f65e02,PASS,
output_dir,thesis_exp/outputs/exp11_checkpoint_selection_sensitivity,PASS,
local_run_root,thesis_exp/runs/exp11_checkpoint_selection_sensitivity,PASS,
local_checkpoint_dir_ignored,thesis_exp/runs/exp11_checkpoint_selection_sensitivity,PASS,thesis_exp/.gitignore ignores runs/
train_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/train.jsonl,PASS,
dev_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/dev.jsonl,PASS,
test_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/test.jsonl,PASS,
QD_B1_checkpoint_path,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,BLOCKED,"requires state_dict.pt, exp05_head_metadata.json, tokenizer.json"
model_name,/home/share/models/modelscope/Qwen/Qwen3-Reranker-0.6B,PASS,
seed_list,42,PASS,
epochs,3,PASS,
lambda_point,1.0,PASS,
lambda_pair,0.05,PASS,
lambda_anchor,0.5,PASS,
lambda_mono,0.1,PASS,
pair_dataset_size_train,10000,PASS,
pair_dataset_size_dev,3000,PASS,
max_pairs_per_record,80,PASS,
max_pairs_per_low_record,100,PASS,
selection_rules,"dev_mae_min, dev_qwk_max, dev_low_to_high_min_diagnostic, mae_guard_soft_risk, mae_guard_label2_soft_risk, mae_guard_p_gt_3_low_mean, mae_guard_soft_risk_mono, last_epoch_diagnostic",PASS,
gamma,4.0,PASS,
delta,0.005,PASS,
beta,0.2,PASS,
gpu_assignment,"{""42"": ""6""}",PASS,
formal_run_has_no_sample_caps,"{""MAX_DEV_PAIRS"": """", ""MAX_EVAL_SAMPLES"": """", ""MAX_TRAIN_PAIRS"": """", ""MAX_TRAIN_SAMPLES"": """"}",PASS,Formal Exp11 must not use sample or pair caps.
seed_42_run_dir,thesis_exp/runs/exp11_checkpoint_selection_sensitivity/seed_42/run,PASS,
seed_42_checkpoint_dir,thesis_exp/runs/exp11_checkpoint_selection_sensitivity/seed_42/checkpoints,PASS,local ignored checkpoint directory
